ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2025-05-21,8,0.9,3,0,3
2025-05-22,162,0.9,4,0,4
2025-05-23,127,0.9,5,0,4
2025-05-26,162,0.9,1,0,4
2025-05-27,171,0.9,2,0,4
2025-05-28,161,0.9,3,0,4
2025-05-29,134,0.9,4,0,5
2025-05-30,134,0.9,5,0,5
2025-06-02,182,0.9,1,1,1
2025-06-03,181,0.9,2,1,1
2025-06-04,156,0.9,3,1,1
2025-06-05,123,0.9,4,1,1
2025-06-06,128,0.9,5,0,1
2025-06-09,164,0.8999999999999999,1,0,2
2025-06-10,143,0.9000000000000001,2,0,2
2025-06-11,136,0.9,3,0,2
2025-06-12,134,0.9,4,0,2
2025-06-13,90,0.9,5,0,2
2025-06-16,152,0.9,1,0,3
2025-06-17,113,0.9,2,0,3
2025-06-18,116,0.9,3,0,3
2025-06-19,89,0.9000000000000001,4,0,3
2025-06-20,10,0.9,5,0,3
2025-06-23,134,0.9,1,0,4
2025-06-24,120,0.9,2,0,4
2025-06-25,118,0.9,3,0,4
2025-06-26,113,0.9,4,0,4
2025-06-27,90,0.9,5,0,4
2025-06-30,157,0.9,1,0,5
2025-07-01,147,0.9,2,1,1
2025-07-02,124,0.9,3,1,1
2025-07-03,116,0.9,4,1,1
2025-07-04,95,0.9,5,1,1
2025-07-07,177,0.9,1,0,1
2025-07-08,153,0.9000000000000001,2,0,2
2025-07-09,101,0.9,3,0,2
2025-07-10,171,0.9,4,0,2
2025-07-11,121,0.9,5,0,2
2025-07-14,180,0.9,1,0,2
2025-07-15,139,0.9,2,0,3
